         204439791 function calls (204439689 primitive calls) in 72.445 seconds

   Ordered by: cumulative time
   List reduced from 192 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.038    0.038   72.445   72.445 /home/cbacoding/llm/CS336/assignment1-basics/cs336_basics/bpe/train/run_train_bpe.py:245(run_train_bpe)
     9743    0.016    0.000   66.794    0.007 /home/cbacoding/llm/CS336/assignment1-basics/cs336_basics/bpe/train/run_train_bpe.py:163(selector)
9746/9745   31.347    0.003   66.778    0.007 {built-in method builtins.max}
196057308   35.431    0.000   35.431    0.000 /home/cbacoding/llm/CS336/assignment1-basics/cs336_basics/bpe/train/run_train_bpe.py:164(<lambda>)
        1    3.003    3.003    4.576    4.576 /home/cbacoding/llm/CS336/assignment1-basics/cs336_basics/bpe/train/run_train_bpe.py:103(pretokenize)
     9743    0.162    0.000    0.938    0.000 /home/cbacoding/llm/CS336/assignment1-basics/cs336_basics/bpe/train/run_train_bpe.py:210(merge)
  5474261    0.677    0.000    0.677    0.000 {method 'group' of '_regex.Match' objects}
    82891    0.060    0.000    0.625    0.000 /home/cbacoding/llm/CS336/assignment1-basics/.venv/lib/python3.12/site-packages/regex/regex.py:340(finditer)
    82892    0.187    0.000    0.530    0.000 /home/cbacoding/llm/CS336/assignment1-basics/.venv/lib/python3.12/site-packages/regex/regex.py:449(_compile)
    68766    0.174    0.000    0.484    0.000 /home/cbacoding/llm/CS336/assignment1-basics/cs336_basics/bpe/train/run_train_bpe.py:187(update_tokens_pairs)
   287859    0.234    0.000    0.332    0.000 /home/cbacoding/llm/CS336/assignment1-basics/cs336_basics/bpe/train/run_train_bpe.py:139(pair_updater)
   165929    0.115    0.000    0.236    0.000 /home/cbacoding/miniconda3/envs/CS336/lib/python3.12/enum.py:1538(__and__)
        1    0.000    0.000    0.221    0.221 /home/cbacoding/llm/CS336/assignment1-basics/.venv/lib/python3.12/site-packages/regex/regex.py:314(split)
        1    0.220    0.220    0.220    0.220 {method 'split' of '_regex.Pattern' objects}
    68766    0.123    0.000    0.178    0.000 /home/cbacoding/llm/CS336/assignment1-basics/cs336_basics/bpe/train/run_train_bpe.py:166(update_words_map)
    68766    0.100    0.000    0.115    0.000 /home/cbacoding/llm/CS336/assignment1-basics/cs336_basics/bpe/train/run_train_bpe.py:200(add_tokens_pairs)
   152456    0.099    0.000    0.099    0.000 {method 'remove' of 'list' objects}
        1    0.053    0.053    0.086    0.086 /home/cbacoding/llm/CS336/assignment1-basics/cs336_basics/bpe/train/run_train_bpe.py:150(counter)
   165938    0.049    0.000    0.081    0.000 /home/cbacoding/miniconda3/envs/CS336/lib/python3.12/enum.py:709(__call__)
   573994    0.067    0.000    0.067    0.000 {method 'append' of 'list' objects}


